"Date","Transaction","Name","Memo","Amount"
"2022-12-27","CREDIT","MOBILE CHECK DEPOSIT","Download from usbank.com.","1950.00"
"2022-12-30","CREDIT","ELECTRONIC DEPOSIT UNIV OR PAYROLL","Download from usbank.com.","295.74"
"2023-01-03","DEBIT","WEB AUTHORIZED PMT VENMO","Download from usbank.com.","-113.00"
"2023-01-03","DEBIT","ATM WITHDRAWAL USB COBURG - ALBEUGENE      ORUS3","Download from usbank.com.9796","-300.00"
"2023-01-09","DEBIT","WEB AUTHORIZED PMT VENMO","Download from usbank.com.","-1000.00"
"2023-01-09","DEBIT","WEB AUTHORIZED PMT VENMO","Download from usbank.com.","-144.85"
"2023-01-17","DEBIT","WEB AUTHORIZED PMT CAPITAL ONE","Download from usbank.com.","-99.34"
"2023-01-23","DEBIT","ATM WITHDRAWAL USB COBURG - ALBEUGENE      ORUS3","Download from usbank.com.9796","-200.00"
"2023-01-30","CREDIT","MOBILE CHECK DEPOSIT","Download from usbank.com.","1950.00"
"2023-01-31","CREDIT","ELECTRONIC DEPOSIT UNIV OR PAYROLL","Download from usbank.com.","164.05"
"2023-02-06","DEBIT","ATM WITHDRAWAL US BANK UNIV OF EUGENE      ORUS3","Download from usbank.com.9796","-200.00"
"2023-02-06","DEBIT","WEB AUTHORIZED PMT VENMO","Download from usbank.com.","-114.08"
"2023-02-06","DEBIT","WEB AUTHORIZED PMT VENMO","Download from usbank.com.","-1000.00"
"2023-02-10","DEBIT","ATM WITHDRAWAL US BANK OREGON CEUGENE      ORUS3","Download from usbank.com.9796","-300.00"
"2023-02-17","DEBIT","WEB AUTHORIZED PMT CAPITAL ONE","Download from usbank.com.","-776.37"
"2023-02-27","DEBIT","ATM WITHDRAWAL US BANK UNIV OF EUGENE      ORUS3","Download from usbank.com.9796","-200.00"
"2023-02-28","CREDIT","ELECTRONIC DEPOSIT UNIV OR PAYROLL","Download from usbank.com.","488.71"
"2023-02-28","CREDIT","MOBILE CHECK DEPOSIT","Download from usbank.com.","1950.00"
"2023-03-02","DEBIT","WEB AUTHORIZED PMT VENMO","Download from usbank.com.","-1000.00"
"2023-03-07","DEBIT","WEB AUTHORIZED PMT VENMO","Download from usbank.com.","-128.18"
"2023-03-17","DEBIT","WEB AUTHORIZED PMT CAPITAL ONE","Download from usbank.com.","-249.43"
"2023-03-21","DEBIT","ATM WITHDRAWAL USB COBURG - ALBEUGENE      ORUS3","Download from usbank.com.9796","-300.00"
"2023-03-23","CREDIT","MOBILE CHECK DEPOSIT","Download from usbank.com.","1950.00"
"2023-03-23","CREDIT","INTEREST PAID THIS PERIOD","Download from usbank.com.","0.12"
"2023-03-27","DEBIT","WEB AUTHORIZED PMT CAPITAL ONE","Download from usbank.com.","-1056.77"
"2023-03-27","DEBIT","ELECTRONIC WITHDRAWAL PUREINS","Download from usbank.com.","-3445.94"
"2023-03-31","CREDIT","ELECTRONIC DEPOSIT UNIV OR PAYROLL","Download from usbank.com.","587.66"
